No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
1,332,156,155,156,186,189,155,189,186,0,0.523599,0.610865,0,1.8326,0,1376,1376,1376,1376,1376,0,96,135,96,-11,-56,135,-56,-11,0.00560299,0.346769,-0.82831,0.00175715,0.420567,-0.00453422,1376,129626,-700000,-281,67377,605,127,281.957
2,332,156,154,156,186,189,154,189,186,0,0.523599,0.610865,0,1.8326,0,-2622,-2622,-2622,-2622,-2622,0,96,134,96,-11,-56,134,-56,-11,-0.0106752,0.408076,-0.765277,-9.21E-05,0.40134,-0.00287583,-2622,152544,-694743,14,64296,383,127,280.523
3,332,156,154,156,186,189,154,189,186,0,0.523689,0.610533,0,1.83658,-0.000251328,-2624,-2624,-2624,-2624,-2624,0,96,134,96,-11,-56,134,-56,-11,-0.0106837,0.407981,-0.765031,-0.000101756,0.401189,-0.0028867,-2624,152508,-694519,16,64272,385,126,280.523
4,332,156,154,156,186,189,154,189,186,0,0.543615,0.606467,0,1.8705,0,-2653,-2653,-2653,-2653,-2653,0,96,134,96,-11,-56,134,-56,-11,-0.0108026,0.409887,-0.76018,-0.000236584,0.394433,-0.00303952,-2653,153220,-690115,37,63190,405,130,280.523
5,332,156,150,156,181,189,150,189,181,0,0.568389,0.595638,0,1.92161,0,1798,1798,1798,1798,1798,0,96,130,96,-16,-56,130,-56,-16,0.00732221,0.351493,-0.828639,0.00120072,0.412718,-0.00450522,1798,131392,-700000,-192,66119,601,129,275.064
6,328,159,134,159,166,193,134,193,166,0,0.604832,0.581112,0,1.97292,0,3524,3524,3524,3524,3524,0,99,114,99,-31,-52,114,-52,-31,0.0143485,0.338586,-0.782947,0.00106374,0.380081,-0.00582293,3524,126567,-700000,-170,60891,777,131,254.871
7,328,159,134,159,166,193,134,193,166,0,0.649083,0.562374,0,2.02779,0,3665,3665,3665,3665,3665,0,99,114,99,-31,-52,114,-52,-31,0.0149231,0.341122,-0.775805,0.000591438,0.370402,-0.00546484,3665,127515,-700000,-94,59340,729,130,254.871
8,323,161,116,161,149,196,116,196,149,0,0.693784,0.540678,0,2.07534,0,6940,6940,6940,6940,6940,0,101,96,101,-48,-49,96,-49,-48,0.0282522,0.323872,-0.714359,0.000152255,0.330029,-0.00619908,6940,121067,-648517,-24,52872,827,129,234.853
9,314,164,97,164,131,201,97,201,131,0,0.737407,0.515361,0,2.12204,0,-27399,-27399,-27399,-27399,-27399,0,104,77,104,-66,-44,77,-44,-66,0.155253,0.218561,-0.576869,0.000306787,0.256043,-0.00925688,38137,81701,-523700,-49,41019,1235,131,218.282
10,319,168,80,168,115,204,80,204,115,0.000136591,0.779505,0.48583,0,2.16309,0,-21086,-21086,-21086,-21086,-21086,0,108,60,108,-82,-41,60,-41,-82,-0.0858399,0.385358,-0.687765,-0.00291044,0.295039,-0.0105228,-21086,144052,-624375,466,47266,1404,128,210.271
