No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
1,328,145,169,145,201,179,169,179,201,0,0.523599,0.610865,0,1.8326,0,14,14,14,14,14,0,85,149,85,4,-66,149,-66,4,6.08E-05,0.468493,-1.09723,0.000403268,0.563862,-0.00131536,14,175129,-800000,-64,80000,175,127,299.635
2,328,145,169,145,201,179,169,179,201,0,0.523599,0.610865,0.00020944,1.8326,0,14,14,14,14,14,0,85,149,85,4,-66,149,-66,4,6.08E-05,0.468493,-1.09723,0.000434912,0.563862,-0.0011931,14,175128,-800000,-69,80000,159,127,299.635
3,332,146,169,146,201,179,169,179,201,0,0.523778,0.610496,0.00020944,1.83804,0,-703,-703,-703,-703,-703,0,86,149,86,4,-66,149,-66,4,-0.00286252,0.555964,-1.06606,0.0001093,0.564082,-0.00113773,-703,207826,-800000,-17,80000,151,128,300.205
4,328,145,169,145,201,179,169,179,201,0,0.542807,0.60595,0.00020944,1.877,0.000502656,20,20,20,20,20,0,85,149,85,4,-66,149,-66,4,8.38E-05,0.472678,-1.09772,0.000354773,0.560164,-0.0011984,20,176693,-800000,-56,80000,159,130,299.635
5,328,145,159,145,191,179,159,179,191,0,0.567581,0.594862,0.00020944,1.93522,0.000502656,115,115,115,115,115,0,85,139,85,-6,-66,139,-66,-6,0.000470269,0.475429,-1.09998,0.000275281,0.55245,-0.00123806,115,177721,-800000,-44,80000,165,129,284.888
6,328,145,159,145,191,179,159,179,191,0,0.60169,0.580891,0.00020944,2.00015,0.000502656,126,126,126,126,126,0,85,139,85,-6,-66,139,-66,-6,0.000516409,0.47869,-1.09361,0.000155843,0.542824,-0.00124306,126,178940,-800000,-24,80000,165,130,284.888
7,328,143,141,143,172,177,141,177,172,0,0.647198,0.562263,0.00020944,2.06486,0.000502656,-127,-127,-127,-127,-127,0,83,121,83,-25,-68,121,-68,-25,-0.000520437,0.420145,-1.31128,-8.03E-06,0.622338,-0.00040491,-127,157055,-800000,1,80000,54,129,259.95
8,328,141,116,141,149,175,116,175,149,0,0.698721,0.540456,0.00020944,2.13,0.000502656,1617,1617,1617,1617,1617,0,81,96,81,-48,-70,96,-70,-48,0.00658397,0.549305,-0.832324,0.000369294,0.385784,0.000468679,1617,205337,-755610,-59,61804,-62,127,229.943
9,319,140,92,140,126,176,92,176,126,0,0.754282,0.514991,0.00020944,2.19304,0.000502656,-3166,-3166,-3166,-3166,-3166,0,80,72,80,-71,-69,72,-69,-71,-0.0128897,0.48115,-0.962154,-0.000118916,0.423471,-5.82E-05,-3166,179860,-800000,19,67842,7,131,207.159
10,314,139,67,139,103,176,67,176,103,0,0.817383,0.48594,0.00020944,2.24624,0.000502656,4100,4100,4100,4100,4100,0,79,47,79,-94,-69,47,-69,-94,0.0166907,0.436447,-0.907157,0.000415828,0.378119,0.00157441,4100,163149,-800000,-66,60576,-210,132,193.564
