Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
337,124,134,124,163,156,134,156,163,0,0.523599,0.610865,0,1.8326,0,-9622,-9622,-9622,-9622,-9622,0,64,114,64,-34,-89,114,-89,-34,-0.0391707,0.179318,-0.570339,-0.00389818,0.276675,0.00643278,-9622,67031,-500000,624,44324,-858,130,253.334,,
337,124,134,124,163,156,134,156,163,0,0.523599,0.610865,0,1.8326,0,-9622,-9622,-9622,-9622,-9622,0,64,114,64,-34,-89,114,-89,-34,-0.0391707,0.179318,-0.570339,-0.00389818,0.276675,0.00643278,-9622,67031,-500000,624,44324,-858,127,253.334,,
337,124,134,124,163,156,134,156,163,-0.000136591,0.523599,0.610643,0,1.83301,0,-9628,-9628,-9628,-9628,-9628,0,64,114,64,-34,-89,114,-89,-34,-0.0391944,0.179216,-0.570194,-0.00387692,0.276632,0.00641685,-9628,66993,-500000,621,44317,-856,128,253.334,,
342,124,134,124,163,155,134,155,163,-0.000819548,0.542538,0.606282,0,1.86317,0,-3880,-3880,-3880,-3880,-3880,0,64,114,64,-34,-90,114,-90,-34,-0.0157967,0.205397,-0.5028,-0.00164913,0.249311,0.00388758,-3880,76779,-456457,264,39941,-519,128,254.039,,
337,124,128,124,160,156,128,156,160,-0.000819548,0.570633,0.595712,0,1.89668,0,9984,9984,9984,9984,9984,0,64,108,64,-37,-89,108,-89,-37,0.0406452,0.212557,-0.258772,0.00200459,0.137222,6.79351e-05,9984,79456,-234921,-321,21983,-9,131,245.754,,
337,127,116,127,148,159,116,159,148,-0.000819548,0.591278,0.58041,-0.00020944,1.92936,0,13180,13180,13180,13180,13180,0,67,96,67,-49,-86,96,-86,-49,0.0536541,0.205698,-0.215291,0.00193855,0.113021,-0.000560672,13180,76892,-195447,-310,18106,74,128,231.989,,
337,127,116,127,148,159,116,159,148,-0.000819548,0.622873,0.562559,0,1.94842,0,13391,13391,13391,13391,13391,0,67,96,67,-49,-86,96,-86,-49,0.0545166,0.202132,-0.202712,0.00191055,0.104009,0.000288912,13391,75559,-184028,-306,16662,-38,130,231.989,,
337,129,105,129,138,161,105,161,138,-0.000819548,0.651507,0.5409,0,1.9635,0,29453,29453,29453,29453,29453,0,69,85,69,-59,-84,85,-84,-59,0.119901,0.174333,-0.0131876,0.00281014,0.0135087,-0.000911652,29453,65168,-11972,-450,2164,121,129,220.885,,
332,131,99,131,131,164,99,164,131,-0.000273183,0.672331,0.515619,0,1.97711,0,6163,6163,6163,6163,6163,0,71,79,71,-66,-81,79,-81,-66,0.0250901,0.182988,-0.290654,0.000430079,0.136896,0.000892614,6163,68403,-263865,-68,21931,-119,127,215.135,,
323,130,97,130,130,165,97,165,130,0.000136591,0.701324,0.493222,0,1.97941,0,-5521,-5521,-5521,-5521,-5521,0,70,77,70,-67,-80,77,-80,-67,-0.0224775,0.180911,-0.382411,-0.00029984,0.174305,0.0025948,-5521,67626,-347165,48,27924,-346,129,211.84,,
